Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
149,Chris Duarte\duartch01,SG,24,IND,48,36,29,5.1,11.7,0.435,1.7,4.8,0.359,3.4,6.9,0.488,0.509,1.7,2.1,0.792,0.7,3.5,4.2,2.2,1.1,0.2,1.6,1.7,13.6
150,David Duke Jr.\dukeda01,PG,22,BRK,15,7,18.2,2.3,6.1,0.374,0.5,2.1,0.258,1.7,4,0.433,0.418,1.1,1.3,0.842,1.9,2.1,4,1,0.7,0.4,0.5,1.9,6.1
151,Kevin Durant\duranke01,PF,33,BRK,36,36,36.5,10.5,20.3,0.52,1.9,5,0.372,8.7,15.3,0.568,0.566,6.3,7.1,0.894,0.6,6.9,7.4,5.8,0.8,0.9,3,1.9,29.3
152,Jaime Echenique\echenja01,C,24,WAS,1,0,3,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
153,Anthony Edwards\edwaran01,SG,20,MIN,49,49,34.9,7.9,18.1,0.436,3.1,8.7,0.357,4.8,9.4,0.509,0.521,3.1,3.8,0.806,0.9,3.9,4.8,3.6,1.5,0.7,2.8,2.3,22
154,Kessler Edwards\edwarke02,SF,21,BRK,23,16,25.6,2.8,6.7,0.425,1.2,3.3,0.373,1.6,3.4,0.474,0.516,0.3,0.3,0.75,1.2,3.2,4.4,0.7,0.8,0.7,1.1,2,7.1
155,Rob Edwards\edwarro01,SG,25,OKC,2,0,5.5,0.5,2,0.25,0.5,2,0.25,0,0,,0.375,0,0,,0,1.5,1.5,0,0,0,0.5,0,1.5
156,CJ Elleby\ellebcj01,SF,21,POR,32,4,13.8,1.6,3.9,0.411,0.5,1.6,0.308,1.1,2.3,0.486,0.476,0.5,0.6,0.85,0.8,1.9,2.8,1.1,0.5,0.2,0.5,1.5,4.2
157,Wayne Ellington\ellinwa01,SG,34,LAL,34,9,19.3,2.1,5.4,0.399,1.9,4.9,0.392,0.2,0.5,0.471,0.577,0.1,0.1,0.8,0.3,1.4,1.7,0.7,0.5,0.1,0.4,1,6.3
158,Joel Embiid\embiijo01,C,27,PHI,42,42,33,9.6,19.3,0.498,1.3,3.6,0.358,8.3,15.7,0.53,0.531,8.9,11,0.812,2,8.9,10.9,4.3,1,1.4,2.9,2.6,29.4
159,James Ennis III\ennisja01,SF,31,TOT,7,0,8,1.6,3.4,0.458,0.4,1.1,0.375,1.1,2.3,0.5,0.521,0.6,0.7,0.8,0.7,1,1.7,0.4,0.3,0.3,0.3,0.7,4.1
