Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
72,Charlie Brown Jr.\brownch02,SG,24,PHI,14,151,6,0.348,0.29,0.258,10.5,11.6,11,3.5,2.3,1.8,12.7,11.8,,-0.2,0.2,0,0.009,,-5.3,-0.4,-5.8,-0.1
73,Chaundee Brown Jr.\brownch05,SG-SF,23,TOT,5,104,6.6,0.447,0.563,0.188,1.1,15.5,8.4,5.2,0.9,0,2.8,15,,0,0,0,0.003,,-4.1,-2.4,-6.5,-0.1
73,Chaundee Brown Jr.\brownch05,SF,23,LAL,2,21,-8.7,0.143,0.429,0,0,10,5.1,0,0,0,12.5,16.4,,-0.1,0,-0.1,-0.301,,-11.4,-5,-16.4,-0.1
73,Chaundee Brown Jr.\brownch05,SG,23,ATL,3,83,10.5,0.525,0.6,0.24,1.3,16.9,9.2,6.5,1.2,0,0,14.6,,0.1,0,0.1,0.08,,-2.3,-1.8,-4.1,0
74,Greg Brown III\browngr01,SF,20,POR,25,173,15.5,0.516,0.271,0.4,9.9,18.2,14,5.6,1.7,3.9,9.9,23,,0.1,0.1,0.2,0.06,,-2.1,-1.6,-3.7,-0.1
75,Jaylen Brown\brownja02,SF,25,BOS,42,1435,18.7,0.568,0.404,0.256,2.6,17.7,10.2,16.7,1.6,1,12.2,30.8,,1.2,2.2,3.4,0.115,,2.2,0.2,2.4,1.5
76,Moses Brown\brownmo01,C,22,DAL,26,169,15.7,0.588,0,0.86,10.3,29.4,19.7,0.9,0.9,4.8,16.9,22,,0.1,0.3,0.4,0.12,,-4.4,-0.2,-4.6,-0.1
77,Sterling Brown\brownst02,SG,26,DAL,36,513,9.4,0.523,0.617,0.086,4.7,22.4,13.4,7.9,1.2,0.9,13.7,13.4,,0.1,0.8,0.8,0.076,,-2.6,0.5,-2.1,0
78,Troy Brown Jr.\browntr01,SF,22,CHI,44,782,10.5,0.535,0.484,0.133,4.2,16.1,10.2,8.7,1.6,0.4,9.1,12.3,,0.6,0.6,1.2,0.075,,-1.5,-0.3,-1.8,0
79,Jalen Brunson\brunsja01,PG,25,DAL,54,1708,17.8,0.578,0.233,0.199,1.9,11.4,6.6,28.5,1.4,0.2,11,22.1,,3.5,2,5.4,0.152,,1.3,0.2,1.5,1.5
80,Thomas Bryant\bryanth01,C,24,WAS,11,177,12.8,0.547,0.339,0.274,6.9,15.6,11.3,5.1,0.8,2.4,10.3,19.4,,0.1,0.1,0.2,0.064,,-1.8,-1.2,-3,0
81,Shaq Buchanan\buchash01,PG,25,MEM,2,10,0.8,0.25,0.5,0,10.3,10.8,10.5,25.4,4.8,0,33.3,24.8,,-0.1,0,0,-0.235,,-10.9,-0.2,-11.1,0
82,Reggie Bullock\bullore01,SF,30,DAL,47,1164,9.9,0.565,0.759,0.101,1.9,13.4,7.6,6,1.1,0.5,7,13.7,,0.8,1.3,2.2,0.089,,-1.2,0,-1.2,0.2
83,Trey Burke\burketr01,PG,29,DAL,30,334,13.1,0.519,0.4,0.103,1,8.3,4.6,22.4,1.5,0,10.9,25.9,,0,0.4,0.4,0.056,,-1.4,-0.9,-2.3,0
84,Alec Burks\burksal01,SG,30,NYK,54,1445,14.1,0.549,0.524,0.37,2.4,15,8.6,14.5,2.1,1,8.9,18.2,,2.1,1.6,3.7,0.124,,-0.5,1.1,0.6,1
85,Jared Butler\butleja02,SG,21,UTA,26,206,10.4,0.509,0.523,0.14,1.7,9.6,5.8,20.8,1.9,2.9,19.4,23.9,,-0.2,0.2,0.1,0.015,,-3.1,0,-3,-0.1
86,Jimmy Butler\butleji01,SF,32,MIA,36,1215,26,0.601,0.125,0.531,6.3,14.4,10.3,30.6,2.7,1.4,10.3,26.5,,4.9,1.9,6.8,0.268,,5.9,2.4,8.3,3.1
87,Devontae Cacok\cacokde01,PF,25,SAS,8,67,27.8,0.69,0,0.304,7.7,34.7,21,4.5,2.9,8.7,3.7,17.1,,0.2,0.2,0.4,0.275,,3.5,4.5,8,0.2
88,Kentavious Caldwell-Pope\caldwke01,SG,28,WAS,50,1461,10.7,0.53,0.522,0.142,1.7,10.7,6.3,8.5,1.8,1.1,10.1,18,,0.1,1,1.1,0.036,,-1.7,-0.2,-1.9,0
89,Facundo Campazzo\campafa01,PG,30,DEN,51,1024,12,0.525,0.639,0.259,1.9,8.3,5.2,24.6,2.6,1.8,17.4,14.9,,0.8,1.2,2,0.093,,-1.7,1.1,-0.6,0.4
90,Vlatko Čančar\cancavl01,PF,24,DEN,14,152,14.2,0.678,0.308,0.308,4.5,12.2,8.5,12.1,0.7,1.8,15.3,15.2,,0.3,0.1,0.4,0.127,,0,-0.6,-0.6,0.1
91,Clint Capela\capelca01,C,27,ATL,46,1295,21,0.573,0.003,0.289,15,31.9,23.6,7.5,1.3,4.4,5.4,15.7,,3.4,1.7,5,0.186,,2,-0.1,1.9,1.3
92,Vernon Carey Jr.\careyve01,C,20,CHO,4,17,17.5,0.546,0,0.5,18,12.8,15.5,0,2.8,0,12,20.7,,0,0,0,0.101,,-2.6,-5.3,-7.9,0
93,Jevon Carter\carteje01,PG,26,BRK,41,484,6.9,0.458,0.721,0.054,1.6,10.8,6.3,10.9,1.4,1.8,11.2,15.1,,-0.3,0.3,0,0.005,,-3.5,-0.8,-4.2,-0.3
94,Wendell Carter Jr.\cartewe01,C,22,ORL,47,1376,17.8,0.59,0.346,0.299,7.4,29.7,18.5,14.9,1.1,2.2,12.8,19.7,,2,1.7,3.7,0.129,,0.9,0.4,1.3,1.2
95,Alex Caruso\carusal01,SG,27,CHI,28,775,14,0.563,0.478,0.324,3.6,11.8,7.7,18.3,3.4,1.2,16.1,14.1,,0.9,0.9,1.9,0.115,,-1,2.8,1.8,0.7
96,Willie Cauley-Stein\caulewi01,C,28,DAL,18,177,8.5,0.474,0.057,0.057,8,15.6,11.7,7.1,1.7,1.5,16.3,10.8,,0,0.3,0.2,0.067,,-4,0.9,-3.1,0
97,Ahmad Caver\caverah01,PG,25,IND,1,1,78.6,1,0,0,0,0,0,0,0,0,0,43.2,,0,0,0,1.256,,30.2,6.3,36.5,0
98,Justin Champagnie\champju01,SF,20,TOR,30,252,14.7,0.594,0.367,0.15,15.2,12.2,13.8,5,1.4,1.5,9.9,12.1,,0.6,0.2,0.8,0.152,,-0.7,-1,-1.7,0
99,Zylan Cheatham\cheatzy01,SF,26,UTA,1,5,-23.7,0,0.667,0,0,0,0,0,0,0,0,26.1,,-0.1,0,-0.1,-0.62,,-18.8,-11.4,-30.2,0
100,Chris Chiozza\chiozch01,PG,26,GSW,26,279,5.2,0.42,0.662,0.015,3.2,8.3,5.8,22,1.6,0,25.2,13.6,,-0.2,0.4,0.1,0.02,,-5.1,-0.3,-5.4,-0.2
